//----------------------------------------
//- NPC MAIN -
//----------------------------------------
morocc,155,115,6	duplicate(jobchange)	เปลี่ยนอาชีพ	521
morocc,153,111,6	duplicate(jobother)	Job Other#m1	873
//morocc,153,112,6	duplicate(platinumskill)	รับสกิลเสริม	579
//morocc,151,109,6	duplicate(resetskill)	Reset ตัวละคร	623
//morocc,149,106,6	duplicate(rentvehicle)	เช่าพาหนะ	873
//morocc,147,103,6	duplicate(homunculus)	จัดการ Homun	582
morocc,168,111,4	duplicate(digbonus)	แลกแต้มประมูลโบนัส	848
morocc,166,111,4	duplicate(digshop)	แลกแต้มประมูล	848
//morocc,166,112,4	duplicate(supportplayer)	ช่วยเหลือผู้เล่น	459
//morocc,168,109,4	duplicate(guildsystem)	ระบบจัดการกิลด์	468
//morocc,170,106,4	duplicate(stylist)	ช่างเสริมสวย	485
//morocc,147,87,6	duplicate(gympass)	รับสกิลแบกของ	635

morocc,160,144,6	duplicate(eventexpress)	ชมกิจกรรม	913

morocc,117,71,0,0	monster	ทดสอบตีหิน	1846,1,0,0,0
morocc,117,77,0,0	monster	ทดสอบตีหิน	1846,1,0,0,0

//----------------------------------------
//- NPC HOME -
//----------------------------------------
morocc,148,97,6	duplicate(renthome)	จัดการบ้านเช่า	860


pvp_y_1-5,150,100,4	duplicate(stylist)	ช่างเสริมสวย#pvp	485
pvp_y_2-5,150,100,4	duplicate(stylist)	ช่างเสริมสวย#rtc	485



//----------------------------------------
//- NPC MARRIAGE -
//----------------------------------------
morocc,105,111,4	duplicate(marriagetab)	ป้าย#แต่งงาน	858
morocc,103,106,6	duplicate(marriage)	บาทหลวง	965
morocc,107,106,4	shop	ร้านแต่งงาน	960,7170:1000000,745:500000,2338:1000000,2206:500000,2613:1500000

//----------------------------------------
//- NPC REFINE -
//----------------------------------------
morocc,143,75,4	duplicate(questhat)	เควสหมวกเก่า	485

morocc,129,71,6	duplicate(specialrefine)	ตีบวกแร่เทพ	813
morocc,129,75,6	duplicate(normalrefine)	ตีบวกแร่ปกติ	813

morocc,131,78,6	duplicate(questweapon)	เควสอาวุธ Lv.4	994
morocc,133,78,6	duplicate(cardremove)	พนักงานถอดการ์ด	986
morocc,135,78,6	duplicate(slotequipment)	พนักงานเจาะรู	984
morocc,137,78,6	duplicate(sumore)	พนักงานรวมแร่	990
morocc,139,78,6	duplicate(packbox)	พนักงานอัดกล่อง	988
morocc,141,78,6	duplicate(makeacid)	พนักงานทำยา	992
morocc,129,78,6	duplicate(enchan)	ออฟชั่น	992


